goal_station_id,station_id,created_at,updated_at
12,JIYUGAOKA,2025-05-16 15:00:00+00,2025-05-16 15:00:00+00
32,TAMAPLAZA,2025-05-17 01:20:10.300367+00,2025-05-17 01:20:10.300367+00
34,MUSASHIKOYAMA,2025-05-17 02:09:01.905503+00,2025-05-17 02:09:01.905503+00
35,MYORENJI,2025-05-17 03:08:14.076154+00,2025-05-17 03:08:14.076154+00
36,OOKAYAMA,2025-05-17 04:42:14.361876+00,2025-05-17 04:42:14.361876+00
37,OKURAYAMA,2025-05-17 04:59:11.924827+00,2025-05-17 04:59:11.924827+00
38,MIZONOKUCHI,2025-05-17 05:48:28.807343+00,2025-05-17 05:48:28.807343+00
39,NUMABE,2025-05-17 06:51:44.992753+00,2025-05-17 06:51:44.992753+00
40,TSUKIMINO,2025-05-17 07:12:25.233141+00,2025-05-17 07:12:25.233141+00
41,HIYOSHI,2025-05-17 08:52:51.794251+00,2025-05-17 08:52:51.794251+00
