point_id,team_id,point,is_charged,created_at,updated_at
234,teamD,5,true,2025-05-17 01:40:11.63569+00,2025-05-17 03:05:29.228+00
235,teamC,5,true,2025-05-17 01:42:04.194825+00,2025-05-17 04:38:49.556+00
236,teamA,5,true,2025-05-17 01:42:43.466114+00,2025-05-17 02:06:39.245+00
237,teamB,5,true,2025-05-17 01:46:22.747248+00,2025-05-17 07:12:14.232+00
238,teamC,5,true,2025-05-17 01:54:09.358481+00,2025-05-17 04:38:49.556+00
239,teamA,5,true,2025-05-17 02:02:51.303051+00,2025-05-17 02:06:39.245+00
240,teamD,5,true,2025-05-17 02:03:13.305813+00,2025-05-17 03:05:29.228+00
241,teamB,5,true,2025-05-17 02:04:42.751403+00,2025-05-17 07:12:14.232+00
242,teamA,250,true,2025-05-17 02:06:40.163385+00,2025-05-17 02:06:39.245+00
243,teamC,5,true,2025-05-17 02:28:00.036031+00,2025-05-17 04:38:49.556+00
244,teamB,5,true,2025-05-17 02:36:33.893074+00,2025-05-17 07:12:14.232+00
245,teamB,5,true,2025-05-17 02:37:32.001737+00,2025-05-17 07:12:14.232+00
246,teamC,5,true,2025-05-17 02:38:30.293324+00,2025-05-17 04:38:49.556+00
247,teamD,5,true,2025-05-17 02:45:49.453812+00,2025-05-17 03:05:29.228+00
248,teamC,50,true,2025-05-17 02:56:45.885345+00,2025-05-17 04:38:49.556+00
249,teamA,5,true,2025-05-17 03:00:32.329538+00,2025-05-17 08:49:23.48+00
250,teamD,5,true,2025-05-17 03:03:29.017866+00,2025-05-17 03:05:29.228+00
251,teamD,288,true,2025-05-17 03:05:29.199041+00,2025-05-17 03:05:29.228+00
252,teamC,5,true,2025-05-17 03:07:49.495862+00,2025-05-17 04:38:49.556+00
253,teamB,100,true,2025-05-17 03:08:53.025677+00,2025-05-17 07:12:14.232+00
254,teamC,100,true,2025-05-17 03:12:02.836584+00,2025-05-17 04:38:49.556+00
255,teamD,50,true,2025-05-17 03:15:52.691324+00,2025-05-17 03:15:52.691324+00
256,teamA,250,true,2025-05-17 03:29:34.861714+00,2025-05-17 08:49:23.48+00
257,teamA,5,true,2025-05-17 03:49:39.93179+00,2025-05-17 08:49:23.48+00
258,teamC,5,true,2025-05-17 03:50:29.322857+00,2025-05-17 04:38:49.556+00
259,teamA,5,true,2025-05-17 04:06:42.877528+00,2025-05-17 08:49:23.48+00
260,teamB,5,true,2025-05-17 04:19:27.269774+00,2025-05-17 07:12:14.232+00
261,teamA,5,true,2025-05-17 04:25:55.472667+00,2025-05-17 08:49:23.48+00
262,teamC,5,true,2025-05-17 04:26:41.77607+00,2025-05-17 04:38:49.556+00
263,teamD,100,true,2025-05-17 04:29:15.708388+00,2025-05-17 04:58:02.777+00
264,teamC,5,true,2025-05-17 04:37:30.052878+00,2025-05-17 04:38:49.556+00
265,teamD,5,true,2025-05-17 04:38:29.056691+00,2025-05-17 04:58:02.777+00
266,teamC,288,true,2025-05-17 04:38:49.513693+00,2025-05-17 04:38:49.556+00
267,teamB,5,true,2025-05-17 04:39:08.233825+00,2025-05-17 07:12:14.232+00
268,teamD,5,true,2025-05-17 04:51:40.440215+00,2025-05-17 04:58:02.777+00
269,teamD,250,true,2025-05-17 04:58:02.75608+00,2025-05-17 04:58:02.777+00
270,teamB,5,true,2025-05-17 05:17:58.931802+00,2025-05-17 07:12:14.232+00
271,teamB,5,true,2025-05-17 05:18:00.097514+00,2025-05-17 07:12:14.232+00
272,teamA,5,true,2025-05-17 05:29:09.904054+00,2025-05-17 08:49:23.48+00
273,teamC,5,true,2025-05-17 05:43:59.306208+00,2025-05-17 05:46:32.576+00
274,teamC,250,true,2025-05-17 05:46:32.535773+00,2025-05-17 05:46:32.576+00
275,teamB,5,true,2025-05-17 05:47:24.590377+00,2025-05-17 07:12:14.232+00
276,teamA,5,true,2025-05-17 05:54:49.660081+00,2025-05-17 08:49:23.48+00
277,teamA,-5,true,2025-05-17 06:06:04.602468+00,2025-05-17 08:49:23.48+00
278,teamD,5,true,2025-05-17 06:07:18.348992+00,2025-05-17 06:48:40.124+00
279,teamA,5,true,2025-05-17 06:10:36.793511+00,2025-05-17 08:49:23.48+00
280,teamA,5,true,2025-05-17 06:11:23.145193+00,2025-05-17 08:49:23.48+00
281,teamB,100,true,2025-05-17 06:16:33.042698+00,2025-05-17 07:12:14.232+00
282,teamA,5,true,2025-05-17 06:28:45.092265+00,2025-05-17 08:49:23.48+00
283,teamC,5,true,2025-05-17 06:29:18.900599+00,2025-05-17 09:06:56.019+00
284,teamA,5,true,2025-05-17 06:29:25.094076+00,2025-05-17 08:49:23.48+00
285,teamD,5,true,2025-05-17 06:29:25.852263+00,2025-05-17 06:48:40.124+00
286,teamD,-65,true,2025-05-17 06:38:17.311144+00,2025-05-17 06:48:40.124+00
287,teamB,5,true,2025-05-17 06:40:24.264376+00,2025-05-17 07:12:14.232+00
288,teamD,5,true,2025-05-17 06:46:05.997343+00,2025-05-17 06:48:40.124+00
289,teamD,288,true,2025-05-17 06:48:40.099752+00,2025-05-17 06:48:40.124+00
290,teamA,5,true,2025-05-17 07:01:17.722135+00,2025-05-17 08:49:23.48+00
291,teamB,5,true,2025-05-17 07:03:58.37708+00,2025-05-17 07:12:14.232+00
292,teamC,5,true,2025-05-17 07:08:22.633867+00,2025-05-17 09:06:56.019+00
293,teamB,227,true,2025-05-17 07:12:12.720451+00,2025-05-17 07:12:14.232+00
294,teamD,5,false,2025-05-17 07:24:57.614592+00,2025-05-17 07:24:57.614592+00
295,teamA,5,true,2025-05-17 07:29:33.618615+00,2025-05-17 08:49:23.48+00
296,teamA,-50,true,2025-05-17 07:38:50.280725+00,2025-05-17 08:49:23.48+00
